,Title,Organism,EC_gene
258,"A search for doxycycline-dependent mutations that increase Drosophila melanogaster life span identifies the VhaSFD, Sugar baby, filamin, fwd and Cctl genes.",['Saccharomyces cerevisiae'],"{'rel': {'EC_numbers': ['2.7.6.5'], 'Classified_Modifications': [{'mod': 'induc', 'class': 'Positive'}]}}"
276,Engineering of the metabolism of Saccharomyces cerevisiae for anaerobic production of mannitol.,['Saccharomyces cerevisiae'],"{'mtlD': {'EC_numbers': ['1.1.1.17'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}}"
277,The non-oxidative pentose phosphate pathway controls the fermentation rate of xylulose but not of xylose in Saccharomyces cerevisiae TMB3001.,['Saccharomyces cerevisiae'],"{'XKS1': {'EC_numbers': ['2.7.1.17'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
279,Genetic engineering of brewing yeast to reduce the content of ethanol in beer.,['Saccharomyces cerevisiae'],"{'GPD1': {'EC_numbers': ['1.2.1.12', '1.1.1.8'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
289,Increased production of folate by metabolic engineering of Lactococcus lactis.,['Lactococcus lactis'],"{'folC': {'EC_numbers': ['6.3.2.17', '6.3.2.12'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'folKE': {'EC_numbers': ['2.7.6.3', '3.5.4.16'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'folA': {'EC_numbers': ['1.1.1.193', '1.5.1.3'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
297,Metabolic engineering of the carotenoid biosynthetic pathway in the yeast Xanthophyllomyces dendrorhous (Phaffia rhodozyma).,['Phaffia rhodozyma'],"{'crtYB': {'EC_numbers': ['2.5.1.32', '5.5.1.19'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
305,In silico prediction and validation of the importance of the Entner-Doudoroff pathway in poly(3-hydroxybutyrate) production by metabolically engineered Escherichia coli.,['Escherichia coli'],"{'eda': {'EC_numbers': ['4.1.3.16', '4.1.2.14'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
307,Identification and characterization of phenylpyruvate decarboxylase genes in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'ARO10': {'EC_numbers': ['4.1.1.80', '4.1.1.74', '4.1.1.43', '4.1.1.72'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
309,Metabolic engineering of ammonium assimilation in xylose-fermenting Saccharomyces cerevisiae improves ethanol production.,['Saccharomyces cerevisiae'],"{'GDH1': {'EC_numbers': ['1.4.1.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'GDH2': {'EC_numbers': ['1.4.1.2'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
310,Enhanced production of insulin-like growth factor I fusion protein in Escherichia coli by coexpression of the down-regulated genes identified by transcriptome profiling.,['Escherichia coli'],"{'prsA': {'EC_numbers': ['3.1.3.23', '2.7.6.1'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'coexpress', 'class': 'Positive'}]}, 'met': {'EC_numbers': ['2.1.1.37'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'metB': {'EC_numbers': ['2.5.1.48'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'ompT': {'EC_numbers': ['3.4.23.49'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'metL': {'EC_numbers': ['1.1.1.3', '2.7.2.4'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
318,Metabolic phenotype of phosphoglucose isomerase mutants of Corynebacterium glutamicum.,['Corynebacterium glutamicum'],"{'pgi': {'EC_numbers': ['5.3.1.9'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'mutants', 'class': 'Other'}, {'mod': 'mutant', 'class': 'Other'}]}}"
321,Genetic engineering of a highly solvent-tolerant Pseudomonas putida strain for biotransformation of toluene to p-hydroxybenzoate.,['Pseudomonas putida'],"{'pobA': {'EC_numbers': ['1.14.13.2'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}}"
325,Effects of the changes in enzyme activities on metabolic flux redistribution around the 2-oxoglutarate branch in glutamate production by Corynebacterium glutamicum.,['Corynebacterium glutamicum'],"{'GDH': {'EC_numbers': ['1.4.1.4'], 'Classified_Modifications': [{'mod': 'enhanc', 'class': 'Positive'}]}}"
327,Metabolic engineering of pentose phosphate pathway in Ralstoniaeutropha for enhanced biosynthesis of poly-beta-hydroxybutyrate.,['Cupriavidus necator'],"{'tktA': {'EC_numbers': ['2.2.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
328,Acquisition of flocculation phenotype by Kluyveromyces marxianus when overexpressing GAP1 gene encoding an isoform of glyceraldehyde-3-phosphate dehydrogenase.,['Kluyveromyces marxianus'],"{'GAP1': {'EC_numbers': ['1.2.1.12'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}}"
329,Engineering redox cofactor regeneration for improved pentose fermentation in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'ZWF1': {'EC_numbers': ['1.1.1.49'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
330,Utilization of acyl-homoserine lactone quorum signals for growth by a soil pseudomonad and Pseudomonas aeruginosa PAO1.,['Pseudomonas aeruginosa'],"{'pvdQ': {'EC_numbers': ['3.5.1.97'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}}"
331,Aerobic physiology of redox-engineered Saccharomyces cerevisiae strains modified in the ammonium assimilation for increased NADPH availability.,['Saccharomyces cerevisiae'],"{'GLR1': {'EC_numbers': ['1.8.1.7'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
334,Biotransformation of glucose to 5-keto-D-gluconic acid by recombinant Gluconobacter oxydans DSM 2343.,['Gluconobacter oxydans'],"{'gno': {'EC_numbers': ['1.1.1.69'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
338,Metabolic engineering of Escherichia coli: construction of an efficient biocatalyst for D-mannitol formation in a whole-cell biotransformation.,['Escherichia coli'],"{'mdh': {'EC_numbers': ['1.1.1.37'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
341,Creation of the first anomeric D/L-sugar kinase by means of directed evolution.,"['Escherichia coli', 'Lactococcus lactis']","{'GalK': {'EC_numbers': ['2.7.1.6'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}]}}"
342,The first committed step in the biosynthesis of sialic acid by Escherichia coli K1 does not involve a phosphorylated N-acetylmannosamine intermediate.,['Escherichia coli'],"{'mlc': {'EC_numbers': ['2.7.1.2'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}, {'mod': 'mutat', 'class': 'Other'}]}, 'neuC': {'EC_numbers': ['3.2.1.183', '5.1.3.14'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'express', 'class': 'Positive'}]}, 'nanE': {'EC_numbers': ['5.1.3.9'], 'Classified_Modifications': [{'mod': 'induc', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'introduct', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'engineer', 'class': 'Other'}, {'mod': 'introduc', 'class': 'Positive'}, {'mod': 'induc express', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}]}, 'nanK': {'EC_numbers': ['2.7.1.60'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'engineer', 'class': 'Other'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'introduc', 'class': 'Positive'}]}, 'nanA': {'EC_numbers': ['4.1.3.3'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}}"
344,Response to culture aeration mediated by the nitrate and nitrite sensor NarQ of Escherichia coli K-12.,['Escherichia coli'],"{'lacZ': {'EC_numbers': ['3.2.1.23'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'repress', 'class': 'Negative'}]}}"
350,Controlled modulation of folate polyglutamyl tail length by metabolic engineering of Lactococcus lactis.,['Lactococcus lactis'],"{'folC': {'EC_numbers': ['6.3.2.17', '6.3.2.12'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}, 'folKE': {'EC_numbers': ['2.7.6.3', '3.5.4.16'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}}"
356,"Directed evolution of pyruvate decarboxylase-negative Saccharomyces cerevisiae, yielding a C2-independent, glucose-tolerant, and pyruvate-hyperproducing yeast.",['Saccharomyces cerevisiae'],"{'GLY1': {'EC_numbers': ['4.1.2.48'], 'Classified_Modifications': [{'mod': 'upregulat', 'class': 'Positive'}]}, 'glu': {'EC_numbers': ['4.1.1.31'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
369,Engineering Escherichia coli for efficient conversion of glucose to pyruvate.,['Escherichia coli'],"{'ackA': {'EC_numbers': ['2.7.2.15', '2.7.2.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'mutat', 'class': 'Other'}, {'mod': 'delet', 'class': 'Negative'}]}, 'poxB': {'EC_numbers': ['1.2.5.1'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}, {'mod': 'mutat', 'class': 'Other'}, {'mod': 'inactivat', 'class': 'Negative'}]}}"
373,Engineering Lactococcus lactis for production of mannitol: high yields from food-grade strains deficient in lactate dehydrogenase and the mannitol transport system.,['Lactococcus lactis'],"{'mtlA': {'EC_numbers': ['2.7.1.197'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'mtlF': {'EC_numbers': ['2.7.1.69', '2.7.1.197'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
374,Cloning of L-lactate dehydrogenase and elimination of lactic acid production via gene knockout in Thermoanaerobacterium saccharolyticum JW/SL-YS485.,['Thermoanaerobacterium saccharolyticum'],"{'ldh': {'EC_numbers': ['1.1.1.27'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
378,Tools for metabolic engineering in Escherichia coli: inactivation of panD by a point mutation.,['Escherichia coli'],"{'panD': {'EC_numbers': ['4.1.1.11'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}}"
381,Enhancement of folates in plants through metabolic engineering.,['Escherichia coli'],"{'folE': {'EC_numbers': ['3.5.4.16'], 'Classified_Modifications': [{'mod': 'insert', 'class': 'Positive'}, {'mod': 'insert', 'class': 'Positive'}]}}"
383,Biosynthesis of poly(3-hydroxybutyrate- co-3-hydroxyalkanoates) by metabolically engineered Escherichia coli strains.,['Escherichia coli'],"{'fadB': {'EC_numbers': ['5.1.2.3', '5.3.3.8', '1.1.1.35', '4.2.1.17'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}]}}"
384,Biosynthesis of R-3-hydroxyalkanoic acids by metabolically engineered Escherichia coli.,['Escherichia coli'],"{'pta': {'EC_numbers': ['2.3.1.8'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}]}}"
389,Prolonged maltose-limited cultivation of Saccharomyces cerevisiae selects for cells with improved maltose affinity and hypersensitivity.,['Saccharomyces cerevisiae'],"{'PMA1': {'EC_numbers': ['7.1.2.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
391,Engineering tropane biosynthetic pathway in Hyoscyamus niger hairy root cultures.,['Escherichia coli'],"{'PMT': {'EC_numbers': ['2.4.1.109'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
392,Identification of the Entner-Doudoroff pathway in an antibiotic-producing actinomycete species.,"['Penicillium chrysogenum', 'Mycobacterium tuberculosis', 'Actinoplanes teichomyceticus', 'Saccharomyces cerevisiae', 'Bacillus subtilis', 'Amycolatopsis orientalis', 'Corynebacterium glutamicum', 'Streptomyces lividans', 'Escherichia coli', 'Aspergillus niger']","{'eda': {'EC_numbers': ['4.1.3.16', '4.1.2.14'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}, 'edd': {'EC_numbers': ['4.2.1.12'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'lack', 'class': 'Negative'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}, 'zwf': {'EC_numbers': ['1.1.1.49'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}, 'fda': {'EC_numbers': ['4.1.2.13'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}}"
395,Engineering of Saccharomyces cerevisiae for the production of L-glycerol 3-phosphate.,['Saccharomyces cerevisiae'],"{'GPD1': {'EC_numbers': ['1.2.1.12', '1.1.1.8'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'GPD': {'EC_numbers': ['1.2.1.12'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
399,"In vivo synthesis of mammalian-like, hybrid-type N-glycans in Komagataella pastoris.",['Komagataella pastoris'],"{'OCH1': {'EC_numbers': ['2.4.1.232'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'inactivat', 'class': 'Negative'}]}}"
405,Investigation of factors influencing production of the monocyclic carotenoid torulene in metabolically engineered Escherichia coli.,['Escherichia coli'],"{'dxs': {'EC_numbers': ['2.2.1.7'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'ispA': {'EC_numbers': ['2.5.1.10', '2.5.1.1', '2.5.1.29'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
408,Serial 13C-based flux analysis of an L-phenylalanine-producing E. coli strain using the sensor reactor.,['Escherichia coli'],"{'pps': {'EC_numbers': ['2.7.9.2'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
412,Engineering the nifH promoter region and abolishing poly-beta-hydroxybutyrate accumulation in Rhizobium etli enhance nitrogen fixation in symbiosis with Phaseolus vulgaris.,['Rhizobium etli'],"{'lacZ': {'EC_numbers': ['3.2.1.23'], 'Classified_Modifications': [{'mod': 'insert', 'class': 'Positive'}]}, 'nifH': {'EC_numbers': ['1.18.6.1'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}}"
414,Engineering of an artificial glycosylation pathway blocked in core oligosaccharide assembly in the yeast Komagataella pastoris: production of complex humanized glycoproteins with terminal galactose.,['Komagataella pastoris'],"{'ALG3': {'EC_numbers': ['2.4.1.258'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'OCH1': {'EC_numbers': ['2.4.1.232'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
420,pH control of the production of recombinant glucose oxidase in Aspergillus nidulans.,['Aspergillus nidulans'],"{'xlnB': {'EC_numbers': ['3.2.1.8'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'regulat', 'class': 'Other'}]}, 'xlnA': {'EC_numbers': ['3.2.1.8'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'regulat', 'class': 'Other'}]}}"
421,Metabolic engineering of mannitol production in Lactococcus lactis: influence of overexpression of mannitol 1-phosphate dehydrogenase in different genetic backgrounds.,['Lactococcus lactis'],"{'mtlD': {'EC_numbers': ['1.1.1.17'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
428,"Growth-rate recovery of Escherichia coli cultures carrying a multicopy plasmid, by engineering of the pentose-phosphate pathway.",['Escherichia coli'],"{'zwf': {'EC_numbers': ['1.1.1.49'], 'Classified_Modifications': [{'mod': 'induc', 'class': 'Positive'}]}}"
432,Metabolic engineering of Escherichia coli: construction of an efficient biocatalyst for D-mannitol formation in a whole-cell biotransformation.,['Escherichia coli'],"{'mdh': {'EC_numbers': ['1.1.1.37'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
437,Construction of a xylan-fermenting yeast strain through codisplay of xylanolytic enzymes on the surface of xylose-utilizing Saccharomyces cerevisiae cells.,['Saccharomyces cerevisiae'],"{'TRP1': {'EC_numbers': ['5.3.1.24'], 'Classified_Modifications': [{'mod': 'coexpress', 'class': 'Positive'}]}, 'XYL2': {'EC_numbers': ['1.1.1.9'], 'Classified_Modifications': [{'mod': 'introduc', 'class': 'Positive'}, {'mod': 'coexpress', 'class': 'Positive'}]}, 'XKS1': {'EC_numbers': ['2.7.1.17'], 'Classified_Modifications': [{'mod': 'coexpress', 'class': 'Positive'}, {'mod': 'introduc', 'class': 'Positive'}]}, 'URA3': {'EC_numbers': ['4.1.1.23'], 'Classified_Modifications': [{'mod': 'coexpress', 'class': 'Positive'}]}}"
440,Towards designer cellulosomes in Clostridia: mannanase enrichment of the cellulosomes produced by Clostridium cellulolyticum.,['Escherichia coli'],"{'ctfB': {'EC_numbers': ['2.8.3.9', '2.8.3.8'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'ctfA': {'EC_numbers': ['2.8.3.9', '2.8.3.8'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'apr': {'EC_numbers': ['3.4.21.62'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
447,Increasing the acetyl-CoA pool in the presence of overexpressed phosphoenolpyruvate carboxylase or pyruvate carboxylase enhances succinate production in Escherichia coli.,['Escherichia coli'],"{'PEPC': {'EC_numbers': ['4.1.1.49'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'coexpress', 'class': 'Positive'}, {'mod': 'coexpress', 'class': 'Positive'}]}}"
448,Riboflavin production in Lactococcus lactis: potential for in situ production of vitamin-enriched foods.,['Lactococcus lactis'],"{'rib': {'EC_numbers': ['2.7.7.60'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
452,Using Lactococcus lactis for glutathione overproduction.,['Lactococcus lactis'],"{'gshA': {'EC_numbers': ['6.3.2.2'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
454,Applicability of CoA/acetyl-CoA manipulation system to enhance isoamyl acetate production in Escherichia coli.,['Escherichia coli'],"{'panK': {'EC_numbers': ['2.7.1.33'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
458,Saccharomyces cerevisiae engineered for xylose metabolism exhibits a respiratory response.,['Saccharomyces cerevisiae'],"{'NDI1': {'EC_numbers': ['1.6.5.9'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'HXK1': {'EC_numbers': ['2.7.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}, 'NDE1': {'EC_numbers': ['1.6.5.9'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'XYL2': {'EC_numbers': ['1.1.1.9'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'ADH2': {'EC_numbers': ['1.1.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
